Category,Puzzle,Letters
Phrase,A MIGHTY GOOD TIME,M D C A
Phrase,I'M WIPED OUT,D G C U
Living Thing,BABOON,P C F O
Thing,VOCABULARY,D M H I
Living Thing,WILD BOAR,D B M I
Phrase,MY GIFT TO YOU,O P D H
Thing,DIALOGUE,D C P O
Thing,PAJAMA TOP,D G M O
Thing,A FIRM GRASP,
On the Menu,CHOP SUEY,D B C I
Living Thing,KODIAK BEAR,H C D A
Things,BOX TOPS,? ? P A
Show Biz,MOVIE PREVIEW,B C H A
Thing,FLAKY CRUST,C B F I
Around The House,WHISK BROOM,C P D O
Person,HISTORY BUFF,M Y C A
Phrase,IN A FOG,? ? ? I
Phrase,BOILING POINT,G D F I
Phrase,IT'S NO JOKE,P M C O
Thing,BOOK JACKET,C D G A
Things,RADIO WAVES,H O D P
Phrase,GO HOG WILD,F D C O
On the Menu,FIREHOUSE CHILI,B C H A
Thing,GUITAR PICK,B D W A
Thing,GUESSWORK,C H D I
Phrase,LOOKING SPIFFY,D M B U
Thing,WAX FRUIT,? ? ? A
Person,BIG TIPPER,
Around the House,COUGH DROPS,P G C O
Person,MATH WHIZ,B M K O
Phrase,BY THE WAY,B Y W A
Thing,GOLF CAP,G B M A
Phrase,FEVER PITCH,C G M A
People,A YOUTH GROUP,C D M A
On the Map,BEIJING,W M D O
Place,WEIGH STATION,M D H A
Phrase,PICKING UP THE CHECK,G P F I
Around the House,BROWNIE MIX,
Thing,PLAID KILT,
Things,FOGGY DAYS,D C M A
Thing,GLACIER,C D P A
Fun & Games,KING ME,D M P O
Phrase,WALKING A TIGHTROPE,G P C A
Person,BODYBUILDER,D C M A
Place,A WINDY BLUFF,D C P A
Phrase,WISHY-WASHY,M D C I
Around the House,VIDEO GAMES,M P D O
Thing,BATH FAUCET,B C K A?
Phrase,THINK OUTSIDE THE BOX,C D M I
Living Thing,KING COBRA,P M D A
Phrase,LUCKY STIFF,C D P A
Thing,TAX BREAK,M D P O
Fun & Games,LEAPFROG,C H M A
Around the House,COOKIE DOUGH,M D G A
Around the House,CARVING KNIFE,D M P I
Thing,HAYSTACK,C B H A
Place,EGYPTIAN TOMB,M D P O
Fictional Character,WIZARD,C M D A
Around the House,ALMOND JOY,G C B A
On the Map,PROVO UTAH,B C W O
Phrase,UPSY-DAISY,C D H A
